CustomerKey,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday,Age,Email
301,Female,Lilly Harding,WANDEARAH EAST,SA,South Australia,5523,Australia,Australia,7/3/1939,,lilly301@gmail.com
325,Female,Madison Hull,MOUNT BUDD,WA,Western Australia,6522,Australia,Australia,27-09-1979,46.0,madison325@gmail.com
554,Female,Claire Ferres,WINJALLOK,VIC,Victoria,3380,Australia,Australia,5/26/1947,78.0,
786,Male,Jai Poltpalingada,MIDDLE RIVER,SA,South Australia,5223,Australia,Australia,9/17/1957,68.0,jai786@gmail.com
1042,Male,Aidan Pankhurst,TAWONGA SOUTH,VIC,Victoria,3698,Australia,Australia,19/11/1965,60.0,aidan1042@gmail.com
1086,Male,Hayden Clegg,TEMPLERS,SA,South Australia,5371,Australia,Australia,1/20/1954,71.0,hayden1086@gmail.com
1133,Male,Nicholas Caffyn,JUBILEE POCKET,QLD,Queensland,4802,Australia,Australia,1969-11-22,56.0,nicholas1133@gmail.com
1256,Male,Lincoln Jenks,KULLOGUM,QLD,Queensland,4660,Australia,Australia,1950-03-12,75.0,lincoln1256@gmail.com
1314,Male,Isaac Israel,EDITH RIVER,NT,Northern Territory,852,Australia,Australia,12/21/1965,,isaac1314@gmail.com
1568,Male,Luke Virtue,KOTTA,VIC,Victoria,3565,Australia,Australia,25/07/1975,"""50""",luke1568@gmail.com
1585,Female,Anna Hallstrom,GREEN LAKE,VIC,Victoria,3401,Australia,Australia,8/12/1990,"""35""",1585_missingatsign.com
1626,Female,Mary Leach,NEDS CORNER,VIC,Victoria,3496,Australia,Australia,10/17/1985,40.0,mary1626@gmail.com
1642,Female,Ruby Ambrose,TARLO,NSW,New South Wales,2580,Australia,Australia,3/3/1965,60.0,ruby1642@gmail.com
1677,Male,Dean Innes,ELLESMERE,QLD,Queensland,4610,Australia,Australia,11/22/1964,61.0,dean1677@gmail.com
1817,Female,Laura Le Rennetel,BEAUCHAMP,VIC,Victoria,3579,Australia,Australia,7/10/1986,,laura1817@gmail.com
1863,Female,Chelsea Watkins,NAMBOUR DC,QLD,Queensland,4560,Australia,Australia,9/22/1984,"""41""",chelsea1863@gmail.com
1945,Male,Angus Beaurepaire,GREENFIELDS,WA,Western Australia,6210,Australia,Australia,20/09/1974,51.0,angus1945@gmail.com
